Date,Dividends,
DIVIDEND, 20161222,0.563000
DIVIDEND, 20160926,0.344000
DIVIDEND, 20160706,0.621000
DIVIDEND, 20160323,0.327000
DIVIDEND, 20151224,0.496000
DIVIDEND, 20150925,0.324000
DIVIDEND, 20150702,0.529000
DIVIDEND, 20150325,0.383000
DIVIDEND, 20141224,0.445000
DIVIDEND, 20140924,0.305000
DIVIDEND, 20140702,0.459000
DIVIDEND, 20140325,0.302000
DIVIDEND, 20131223,0.437000
DIVIDEND, 20130924,0.283000
DIVIDEND, 20130702,0.430000
DIVIDEND, 20130325,0.264000
DIVIDEND, 20121219,0.727000
DIVIDEND, 20120924,0.332000
DIVIDEND, 20120626,0.377000
DIVIDEND, 20120323,0.251000
DIVIDEND, 20111222,0.360000
DIVIDEND, 20110923,0.250000
DIVIDEND, 20110705,0.252000
DIVIDEND, 20110324,0.169000
DIVIDEND, 20101222,0.357000
DIVIDEND, 20100923,0.165000
DIVIDEND, 20100702,0.199000
DIVIDEND, 20100324,0.172000
DIVIDEND, 20091223,0.253000
DIVIDEND, 20090922,0.145000
DIVIDEND, 20090702,0.181000
DIVIDEND, 20090324,0.141000
DIVIDEND, 20081223,0.361000
DIVIDEND, 20080924,0.150000
DIVIDEND, 20080702,0.257000
DIVIDEND, 20080324,0.110000
DIVIDEND, 20071227,0.267000
DIVIDEND, 20070925,0.195000
DIVIDEND, 20070628,0.159000
DIVIDEND, 20070323,0.154000
DIVIDEND, 20061220,0.329000
DIVIDEND, 20060926,0.231000
DIVIDEND, 20060622,0.105000
DIVIDEND, 20060324,0.169000
DIVIDEND, 20051222,0.261000
DIVIDEND, 20050923,0.198000
DIVIDEND, 20050620,0.146000
SPLIT, 20050609,2:1
DIVIDEND, 20050324,0.274000
DIVIDEND, 20041223,0.205500
DIVIDEND, 20040924,0.132500
DIVIDEND, 20040625,0.152500
DIVIDEND, 20040326,0.104500
DIVIDEND, 20031216,0.115000
DIVIDEND, 20031212,0.187500
DIVIDEND, 20030912,0.118500
DIVIDEND, 20030613,0.075000
DIVIDEND, 20030307,0.080000
DIVIDEND, 20021213,0.190000
DIVIDEND, 20020913,0.128000
DIVIDEND, 20020614,0.120500
DIVIDEND, 20020308,0.057500
DIVIDEND, 20011214,0.135000
DIVIDEND, 20011001,0.147000
DIVIDEND, 20010608,0.142000
DIVIDEND, 20010309,0.097000
DIVIDEND, 20001213,0.217000
DIVIDEND, 20000920,0.178000
DIVIDEND, 20000621,0.030000
STARTDATE, 20000526
ENDDATE, 20170118
TOTALSIZE, 68
STATUS, 0
